Muscle,Muscle_ID,Head_Type,Head_Type_ID,Unique_Head,Unique_Head_ID,Chirality_Flag,Model_Reference_Name,Modele_Reference_ID
Wrist Extensors,012,Extensor Carpi Radialis Brevis,01203,Extensor Carpi Radialis Brevis Right,012032,T,Extensor_carpi_radialis_brevis_right,048
Wrist Extensors,012,Humeral Extensor Carpi Ulnaris,01204,Humeral Extensor Carpi Ulnaris Left,012041,T,Humeral_head_of_extensor_carpi_ulnaris_left,049
Wrist Extensors,012,Humeral Extensor Carpi Ulnaris,01204,Humeral Extensor Carpi Ulnaris Right,012042,T,Humeral_head_of_extensor_carpi_ulnaris_right,050
Wrist Extensors,012,Ulnar Extensor Carpi Ulnaris,01205,Ulnar Extensor Carpi Ulnaris Left,012051,T,Ulnar_head_of_extensor_carpi_ulnaris_left,051
Wrist Extensors,012,Ulnar Extensor Carpi Ulnaris,01205,Ulnar Extensor Carpi Ulnaris Right,012052,T,Ulnar_head_of_extensor_carpi_ulnaris_right,052
Wrist Extensors,012,Extensor Indicis,01206,Extensor Indicis Left,012061,T,Extensor_indicis_left,053
Wrist Extensors,012,Extensor Indicis,01206,Extensor Indicis Right,012062,T,Extensor_indicis_right,054
Wrist Extensors,012,Extensor Digiti Minimi,01207,Extensor Digiti Minimi Left,012071,T,Extensor_digiti_minimi_left,055
Wrist Extensors,012,Extensor Digiti Minimi,01207,Extensor Digiti Minimi Right,012072,T,Extensor_digiti_minimi_right,056
Wrist Extensors,012,Extensor Pollicis Longus,01208,Extensor Pollicis Longus Left,012081,T,Extensor_pollicis_longus_left,057
Wrist Extensors,012,Extensor Pollicis Longus,01208,Extensor Pollicis Longus Right,012082,T,Extensor_pollicis_longus_right,058
Wrist Extensors,012,Extensor Pollicis Brevis,01209,Extensor Pollicis Brevis Left,012091,T,Extensor_pollicis_brevis_left,059
Wrist Extensors,012,Extensor Pollicis Brevis,01209,Extensor Pollicis Brevis Right,012092,T,Extensor_pollicis_brevis_right,060
Pronator Teres,013,Pronator Teres Humeral Pronator,01301,Pronator Teres Humeral Pronator Left,013011,T,Superficial_head_of_pronator_teres_left,061
Pronator Teres,013,Pronator Teres Humeral Pronator,01301,Pronator Teres Humeral Pronator Right,013012,T,Superficial_head_of_pronator_teres_right,062
Pronator Teres,013,Pronator Teres Ulnar Pronator ,01302,Pronator Teres Ulnar Pronator  Left,013021,T,Deep_head_of_pronator_teres_left,063
Pronator Teres,013,Pronator Teres Ulnar Pronator ,01302,Pronator Teres Ulnar Pronator  Right,013022,T,Deep_head_of_pronator_teres_right,064
Supinators,014,Pronator Teres Humeral Supinator,01401,Pronator Teres Humeral Supinator Left,014011,T,Supinator_left,065
Supinators,014,Pronator Teres Humeral Supinator,01401,Pronator Teres Humeral Supinator Right,014012,T,Supinator_right,066
Supinators,014,Pronator Teres Ulnar Supinator,01402,Pronator Teres Ulnar Supinator Left,014021,T,Supinator_left,067
Supinators,014,Pronator Teres Ulnar Supinator,01402,Pronator Teres Ulnar Supinator Right,014022,T,Supinator_right,068
Latissimus Dorsi,015,Latissimus Dorsi,01501,Latissimus Dorsi Left,015011,T,Latissimus_dorsi_muscle_left,069
Latissimus Dorsi,015,Latissimus Dorsi,01501,Latissimus Dorsi Right,015012,T,Latissimus_dorsi_muscle_right,070
Teres Major,016,Teres Major,01601,Teres Major Left,016011,T,Teres_major_muscle_left,071
Teres Major,016,Teres Major,01601,Teres Major Right,016012,T,Teres_major_muscle_right,072
Upper Trapezius,017,Upper Trapezius Upper Fibers,01701,Upper Trapezius Upper Fibers Left,017011,T,Descending_part_of_trapezius_muscle_left,073
Upper Trapezius,017,Upper Trapezius Upper Fibers,01701,Upper Trapezius Upper Fibers Right,017012,T,Descending_part_of_trapezius_muscle_right,074
Middle Trapezius,018,Middle Trapezius Middle Fibers,01801,Middle Trapezius Middle Fibers Left,018011,T,Transverse_part_of_trapezius_muscle_left,075
Middle Trapezius,018,Middle Trapezius Middle Fibers,01801,Middle Trapezius Middle Fibers Right,018012,T,Transverse_part_of_trapezius_muscle_right,076
Lower Trapezius,019,Lower Trapezius Lower Fibers,01901,Lower Trapezius Lower Fibers Left,019011,T,Ascending_part_of_trapezius_muscle_left,077
Lower Trapezius,019,Lower Trapezius Lower Fibers,01901,Lower Trapezius Lower Fibers Right,019012,T,Ascending_part_of_trapezius_muscle_right,078
Levator Scapulae,020,Levator Scapulae,02001,Levator Scapulae Left,020011,T,Levator_scapulae_left,079
Levator Scapulae,020,Levator Scapulae,02001,Levator Scapulae Right,020012,T,Levator_scapulae_right,080
Rhomboids,021,Rhomboids Minor,02101,Rhomboids Minor Left,021011,T,Rhomboid_minor_muscle_left,081
Rhomboids,021,Rhomboids Minor,02101,Rhomboids Minor Right,021012,T,Rhomboid_minor_muscle_right,082
Rhomboids,021,Rhomboids Major,02102,Rhomboids Major Left,021021,T,Rhomboid_major_muscle_left,083
Rhomboids,021,Rhomboids Major,02102,Rhomboids Major Right,021022,T,Rhomboid_major_muscle_right,084
Infraspinatus,022,Infraspinatus Superior,02201,Infraspinatus Superior Left,022011,T,Infraspinatus_muscle_left,085
Infraspinatus,022,Infraspinatus Superior,02201,Infraspinatus Superior Right,022012,T,Infraspinatus_muscle_right,086
Infraspinatus,022,Infraspinatus Middle,02202,Infraspinatus Middle Left,022021,T,Infraspinatus_muscle_left,087
Infraspinatus,022,Infraspinatus Middle,02202,Infraspinatus Middle Right,022022,T,Infraspinatus_muscle_right,088
Infraspinatus,022,Infraspinatus Inferior,02203,Infraspinatus Inferior Left,022031,T,Infraspinatus_muscle_left,089
Infraspinatus,022,Infraspinatus Inferior,02203,Infraspinatus Inferior Right,022032,T,Infraspinatus_muscle_right,090
Teres Minor,023,Teres Minor,02301,Teres Minor Left,023011,T,Teres_minor_muscle_left,091
Teres Minor,023,Teres Minor,02301,Teres Minor Right,023012,T,Teres_minor_muscle_right,092
Subscapularis,024,Subscapularis Superior,02401,Subscapularis Superior Left,024011,T,Subscapularis_muscle_left,093
Subscapularis,024,Subscapularis Superior,02401,Subscapularis Superior Right,024012,T,Subscapularis_muscle_right,094
Subscapularis,024,Subscapularis Middle,02402,Subscapularis Middle Left,024021,T,Subscapularis_muscle_left,095
Subscapularis,024,Subscapularis Middle,02402,Subscapularis Middle Right,024022,T,Subscapularis_muscle_right,096
Subscapularis,024,Subscapularis Inferior,02403,Subscapularis Inferior Left,024031,T,Subscapularis_muscle_left,097
Subscapularis,024,Subscapularis Inferior,02403,Subscapularis Inferior Right,024032,T,Subscapularis_muscle_right,098
Sternal Pectoralis Major,025,Sternal Pectoralis Major Sternal Head,02501,Sternal Pectoralis Major Sternal Head Left,025011,T,Sternocostal_head_of_pectoralis_major_muscle_left,099
Sternal Pectoralis Major,025,Sternal Pectoralis Major Sternal Head,02501,Sternal Pectoralis Major Sternal Head Right,025012,T,Sternocostal_head_of_pectoralis_major_muscle_right,100
Clavicular Pectoralis Major,026,Clavicular Pectoralis Major Clavicular Head,02601,Clavicular Pectoralis Major Clavicular Head Left,026011,T,Clavicular_head_of_pectoralis_major_muscle_left,101
Clavicular Pectoralis Major,026,Clavicular Pectoralis Major Clavicular Head,02601,Clavicular Pectoralis Major Clavicular Head Right,026012,T,Clavicular_head_of_pectoralis_major_muscle_right,102
Pectoralis Minor,027,Pectoralis Minor Medial Head,02701,Pectoralis Minor Medial Head Left,027011,T,Pectoralis_minor_muscle_right,103
Pectoralis Minor,027,Pectoralis Minor Medial Head,02701,Pectoralis Minor Medial Head Right,027012,T,Pectoralis_minor_muscle_right,104
Pectoralis Minor,027,Pectoralis Minor Posterior Head,02702,Pectoralis Minor Posterior Head Left,027021,T,Pectoralis_minor_muscle_right,105
Pectoralis Minor,027,Pectoralis Minor Posterior Head,02702,Pectoralis Minor Posterior Head Right,027022,T,Pectoralis_minor_muscle_right,106
