Muscle,Muscle_ID,Head_Type,Head_Type_ID,Region,Muscle_Group,Muscle_Subname
Rhomboids,021,Rhomboids Minor,02101,Upper,Back,
Rhomboids,021,Rhomboids Major,02102,Upper,Back,
Rhomboids,021,Rhomboids Major,02102,Upper,Back,
Infraspinatus,022,Infraspinatus Superior,02201,Upper,Back,
Infraspinatus,022,Infraspinatus Superior,02201,Upper,Back,
Infraspinatus,022,Infraspinatus Middle,02202,Upper,Back,
Infraspinatus,022,Infraspinatus Middle,02202,Upper,Back,
Infraspinatus,022,Infraspinatus Inferior,02203,Upper,Back,
Infraspinatus,022,Infraspinatus Inferior,02203,Upper,Back,
Teres Minor,023,Teres Minor,02301,Upper,Back,
Teres Minor,023,Teres Minor,02301,Upper,Back,
Subscapularis,024,Subscapularis Superior,02401,Upper,Back,
Subscapularis,024,Subscapularis Superior,02401,Upper,Back,
Subscapularis,024,Subscapularis Middle,02402,Upper,Back,
Subscapularis,024,Subscapularis Middle,02402,Upper,Back,
Subscapularis,024,Subscapularis Inferior,02403,Upper,Back,
Subscapularis,024,Subscapularis Inferior,02403,Upper,Back,
Sternal Pectoralis Major,025,Sternal Pectoralis Major Sternal Head,02501,Upper,Chest,Pecs
Sternal Pectoralis Major,025,Sternal Pectoralis Major Sternal Head,02501,Upper,Chest,Pecs
Clavicular Pectoralis Major,026,Clavicular Pectoralis Major Clavicular Head,02601,Upper,Chest,Pecs
Clavicular Pectoralis Major,026,Clavicular Pectoralis Major Clavicular Head,02601,Upper,Chest,Pecs
Pectoralis Minor,027,Pectoralis Minor Medial Head,02701,Upper,Chest,Pecs
Pectoralis Minor,027,Pectoralis Minor Medial Head,02701,Upper,Chest,Pecs
Pectoralis Minor,027,Pectoralis Minor Posterior Head,02702,Upper,Chest,Pecs
Pectoralis Minor,027,Pectoralis Minor Posterior Head,02702,Upper,Chest,Pecs
Pectoralis Minor,027,Pectoralis Minor Lateral Head ,02703,Upper,Chest,Pecs
Pectoralis Minor,027,Pectoralis Minor Lateral Head ,02703,Upper,Chest,Pecs
Serratus Anterior,028,Serratus Anterior Superior,02801,Upper,Chest,
Serratus Anterior,028,Serratus Anterior Superior,02801,Upper,Chest,
Serratus Anterior,028,Serratus Anterior Anterior,02802,Upper,Chest,
Serratus Anterior,028,Serratus Anterior Anterior,02802,Upper,Chest,
Serratus Anterior,028,Serratus Anterior Inferior,02803,Upper,Chest,
Serratus Anterior,028,Serratus Anterior Inferior,02803,Upper,Chest,
Rectus Abdominis,029,Rectus Abdominus,02901,Core,Waist,
Rectus Abdominis,029,Rectus Abdominus,02901,Core,Waist,
Transverse Abdominis,030,Transverse Abdominis,03001,Core,Waist,
Transverse Abdominis,030,Transverse Abdominis,03001,Core,Waist,
Obliques,031,External Oblique,03101,Core,Waist,
Obliques,031,External Oblique,03101,Core,Waist,
Obliques,031,Internal Oblique,03102,Core,Waist,
Obliques,031,Internal Oblique,03102,Core,Waist,
Quadratus Lumborum,032,Quadratus Lumborum,03201,Core,Waist,
Quadratus Lumborum,032,Quadratus Lumborum,03201,Core,Waist,
Erector Spinae,033,Erector Spinae iliocastalis,03301,Core,Waist,
Erector Spinae,033,Erector Spinae iliocastalis,03301,Core,Waist,
Erector Spinae,033,Erector Spinae longissimus,03302,Core,Waist,
Erector Spinae,033,Erector Spinae longissimus,03302,Core,Waist,
Erector Spinae,033,Erector Spinae spinalis,03303,Core,Waist,
Erector Spinae,033,Erector Spinae spinalis,03303,Core,Waist,
Gluteus Maximus,034,Gluteus Maximus Upper Fibers,03401,Lower,Hips,Hip Adductors
Gluteus Maximus,034,Gluteus Maximus Upper Fibers,03401,Lower,Hips,Hip Adductors
Gluteus Maximus,034,Gluteus Maximus Lower Fibers,03402,Lower,Hips,Hip Adductors
Gluteus Maximus,034,Gluteus Maximus Lower Fibers,03402,Lower,Hips,Hip Adductors
Gluteus Medius,035,Gluteus Medius Anterior Fibers,03501,Lower,Hips,Hip Adductors
Gluteus Medius,035,Gluteus Medius Anterior Fibers,03501,Lower,Hips,Hip Adductors
Gluteus Medius,035,Gluteus Medius Posterior Fibers,03502,Lower,Hips,Hip Adductors
Gluteus Medius,035,Gluteus Medius Posterior Fibers,03502,Lower,Hips,Hip Adductors
Gluteus Minimus,036,Gluteus Minimus,03601,Lower,Hips,Hip Adductors
Gluteus Minimus,036,Gluteus Minimus,03601,Lower,Hips,Hip Adductors
Tensor Fascie Latae,037,Tensor Fasciae Latae,03701,Lower,Hips,Hip Adductors
Tensor Fascie Latae,037,Tensor Fasciae Latae,03701,Lower,Hips,Hip Adductors
Iliopsoas,038,Iliopsoas Iliacus,03801,Lower,Hips,Hip Flexors
Iliopsoas,038,Iliopsoas Iliacus,03801,Lower,Hips,Hip Flexors
Iliopsoas,038,Iliopsoas Psoas,03802,Lower,Hips,Hip Flexors
Iliopsoas,038,Iliopsoas Psoas,03802,Lower,Hips,Hip Flexors
Sartorius,039,Sartorius,03901,Lower,Hips,Hip Flexors
Sartorius,039,Sartorius,03901,Lower,Hips,Hip Flexors
