Mesh_Names
Abdominal_part_of_pectoralis_major_muscle_left
Abdominal_part_of_pectoralis_major_muscle_right
Adductor_minimus_left
Adductor_minimus_right
Iliopectineal_bursa_left
Iliopectineal_bursa_right
Abductor_digiti_minimi_of_foot
Abductor_digiti_minimi_of_hand_left
Abductor_digiti_minimi_of_hand_right
Abductor_hallucis_left
Abductor_hallucis_right
Abductor_pollicis_brevis_left
Abductor_pollicis_brevis_right
Abductor_pollicis_longus_left
Abductor_pollicis_longus_right
Acromial_part_of_deltoid_muscle_left
Acromial_part_of_deltoid_muscle_right
Adductor_brevis_left
Adductor_brevis_right
Adductor_longus_left
Adductor_longus_right
Adductor_magnus_left
Adductor_magnus_right
Anconeus_muscle_left
Anconeus_muscle_right
Anserine_bursa_left
Anserine_bursa_right
Anterior_belly_of_digastric_muscle_left
Anterior_intermuscular_septum_of_leg_left
Anterior_layer_of_thoracolumbar_fascia_left
Ascending_part_of_trapezius_muscle_left
Ascending_part_of_trapezius_muscle_right
Bicipitoradial_bursa_left
Bicipitoradial_bursa_right
Brachialis_muscle_left
Brachialis_muscle_right
Brachioradialis_muscle_left
Brachioradialis_muscle_right
Bucinator_left
Bucinator_right
Bursa_of_piriformis_muscle_left
Bursa_of_piriformis_muscle_right
Calcaneal_tendon_left
Calcaneal_tendon_right
Clavicular_head_of_pectoralis_major_muscle_left
Clavicular_head_of_pectoralis_major_muscle_right
Clavicular_part_of_deltoid_muscle_left
Clavicular_part_of_deltoid_muscle_right
Clavipectoral_fascia_left
Clavipectoral_fascia_right
Coccygeus_muscle_left
Coccygeus_muscle_right
Common_flexor_tendon_sheath_left
Common_flexor_tendon_sheath_right
Common_tendon_sheath_of_fibularis_muscles_left
Coracobrachial_bursa_left
Coracobrachial_bursa_right
Coracobrachialis_muscle_left
Coracobrachialis_muscle_right
Corrugator_supercilii_left
Corrugator_supercilii_right
Cruciform_part_of_fibrous_sheath_of_digit_of_hand_left
Deep_head_of_flexor_pollicis_brevis_left
Deep_head_of_flexor_pollicis_brevis_right
Deep_head_of_pronator_teres_left
Deep_head_of_pronator_teres_right
Deep_infrapatellar_bursa_left
Deep_infrapatellar_bursa_right
Deep_part_of_masseter_left
Deep_part_of_masseter_right
Depressor_anguli_oris_left
Depressor_anguli_oris_right
Depressor_labii_inferioris_left
Depressor_labii_inferioris_right
Depressor_septi_nasi_left
Depressor_septi_nasi_right
Descending_part_of_trapezius_muscle_left
Descending_part_of_trapezius_muscle_right
Diaphragm_Diaphragm
Diaphragm_Diaphragm
Diaphragmatic_fascia_Diaphragmatic_fascia
Dorsal_fascia_of_hand_left
Dorsal_fascia_of_hand_right
Dorsal_interossei_muscles_of_foot_left
Dorsal_interossei_muscles_of_hand_left
Dorsal_interossei_muscles_of_hand_right
Dorsal_parts_of_lateral_intertransversarii_lumborum_muscles
Epicranial_aponeurosis_left
Epicranial_aponeurosis_right
Extensor_carpi_radialis_brevis_left
Extensor_carpi_radialis_brevis_right
Extensor_carpi_radialis_longus_left
Extensor_carpi_radialis_longus_right
Extensor_digiti_minimi_left
Extensor_digiti_minimi_right
Extensor_digitorum_left
Extensor_digitorum_right
Extensor_digitorum_brevis_left
Extensor_digitorum_brevis_right
Extensor_digitorum_longus_left
Extensor_digitorum_longus_right
Extensor_hallucis_brevis_left
Extensor_hallucis_brevis_right
Extensor_hallucis_longus_left
Extensor_hallucis_longus_right
Extensor_indicis_left
Extensor_indicis_right
Extensor_pollicis_brevis_left
Extensor_pollicis_brevis_right
Extensor_pollicis_longus_left
Extensor_pollicis_longus_right
Extensor_retinaculum_of_wrist_left
External_intercostal_muscles_left
External_intercostal_muscles_right
Fibularis_brevis_muscle_left
Fibularis_brevis_muscle_right
Fibularis_longus_muscle_left
Fibularis_longus_muscle_right
Fibularis_longus_muscle_right001
Fibularis_longus_muscle_right001
Fibularis_tertius_muscle_left
Fibularis_tertius_muscle_right
Flexor_carpi_radialis_left
Flexor_carpi_radialis_right
Flexor_digiti_minimi_of_foot_left
Flexor_digiti_minimi_of_foot_right
Flexor_digiti_minimi_of_hand_left
Flexor_digiti_minimi_of_hand_right
Flexor_digitorum_brevis_left
Flexor_digitorum_brevis_right
Flexor_digitorum_longus_left
Flexor_digitorum_longus_right
Flexor_digitorum_profundus_left
Flexor_digitorum_profundus_right
Flexor_hallucis_longus_left
Flexor_hallucis_longus_right
Flexor_pollicis_longus_left
Flexor_pollicis_longus_right
Flexor_retinaculum_of_ankle_left
Flexor_retinaculum_of_ankle_right
Flexor_retinaculum_of_wrist_left
Flexor_retinaculum_of_wrist_right
Frontalis_muscle_left
Frontalis_muscle_right
Genioglossus_muscle_left
Genioglossus_muscle_right
Geniohyoid_muscle_left
Geniohyoid_muscle_right
Gluteus_maximus_muscle_left
Gluteus_maximus_muscle_right
Gluteus_medius_muscle_left
Gluteus_medius_muscle_right
Gluteus_minimus_muscle_left
Gluteus_minimus_muscle_right
